model_id,downloads,cumulative_downloads,likes,created_at,last_modified,tags,sha,associated_library,model_using_spaces,paper_ids,model_card_language_roberta,readme_length,is_base_model,organization_id,paper_id,github_url
BAAI/bge-m3,1652085,,1259,2024-01-27 17:07:29+00:00,2024-07-03 14:50:10+00:00,"['sentence-transformers', 'pytorch', 'onnx', 'xlm-roberta', 'feature-extraction', 'sentence-similarity', 'arxiv:2402.03216', 'arxiv:2004.04906', 'arxiv:2106.14807', 'arxiv:2107.05720', 'arxiv:2004.12832', 'license:mit', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",5617a9f61b028005a4858fdac845db406aefb181,sentence-transformers,,"['2402.03216', '2004.04906', '2106.14807', '2107.05720', '2004.12832']",en,1090,True,BAAI,'2402.03216',https://github.com/FlagOpen/FlagEmbedding/tree/master/FlagEmbedding/BGE_M3
CAMB-AI/MARS5-TTS,510,,427,2024-06-07 16:43:15+00:00,2024-07-05 15:24:40+00:00,"['mars5-tts', 'text-to-speech', 'audio', 'speech', 'voice-cloning', 'vc', 'tts', 'license:agpl-3.0', 'endpoints_compatible', 'region:us']",010cda8c524b55ccaabb34ac3711a16ad8830d03,mars5-tts,,[],en,1111,True,CAMB-AI,,https://github.com/Camb-ai/mars5-tts
CohereForAI/c4ai-command-r-plus,6318,,1652,2024-04-03 13:27:04+00:00,2024-09-11 09:32:20+00:00,"['transformers', 'safetensors', 'cohere', 'text-generation', 'conversational', 'en', 'fr', 'de', 'es', 'it', 'pt', 'ja', 'ko', 'zh', 'ar', 'license:cc-by-nc-4.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",432fac17c84cbbc8fed8d396fb3893e90c77e053,transformers,,[],en,1842,True,CohereForAI,,
CompVis/stable-diffusion-v1-4,4084490,,6459,2022-08-20 13:26:13+00:00,2023-08-23 21:15:42+00:00,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",133a221b8aa7292a167afc5127cb63fb5005638b,diffusers,,"['2207.12598', '2112.10752', '2103.00020', '2205.11487', '1910.09700']",en,1542,True,CompVis,'2112.10752',https://github.com/CompVis/stable-diffusion
Crosstyan/BPModel,1141,,150,2022-12-20 11:55:42+00:00,2023-05-31 10:02:50+00:00,"['diffusers', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'safetensors', 'en', 'dataset:Crosstyan/BPDataset', 'arxiv:2212.03860', 'doi:10.57967/hf/0223', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",2894eb5f8eb98a4d3283806478de0c648ffb6c38,diffusers,,['2212.03860'],en,1123,True,Crosstyan,'2212.03860',
DeepFloyd/IF-I-XL-v1.0,12797,,607,2023-04-06 21:22:41+00:00,2023-06-02 19:05:00+00:00,"['diffusers', 'pytorch', 'safetensors', 'if', 'text-to-image', 'arxiv:2205.11487', 'arxiv:2110.02861', 'license:deepfloyd-if-license', 'diffusers:IFPipeline', 'region:us']",c03d510e9b75bce9f9db5bb85148c1402ad7e694,diffusers,,"['2205.11487', '2110.02861']",en,1252,True,DeepFloyd,,https://github.com/deep-floyd/IF
EleutherAI/gpt-j-6b,242789,,1409,2022-03-02 23:29:04+00:00,2023-06-21 14:33:36+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'gptj', 'text-generation', 'causal-lm', 'en', 'dataset:EleutherAI/pile', 'arxiv:2104.09864', 'arxiv:2101.00027', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",47e169305d2e8376be1d31e765533382721b2cc1,transformers,,"['2104.09864', '2101.00027']",en,1307,True,EleutherAI,,https://github.com/kingoflolz/mesh-transformer-jax
FacebookAI/roberta-large-mnli,56638,,148,2022-03-02 23:29:04+00:00,2024-02-19 12:47:11+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'roberta', 'text-classification', 'autogenerated-modelcard', 'en', 'dataset:multi_nli', 'dataset:wikipedia', 'dataset:bookcorpus', 'arxiv:1907.11692', 'arxiv:1806.02847', 'arxiv:1804.07461', 'arxiv:1704.05426', 'arxiv:1508.05326', 'arxiv:1809.05053', 'arxiv:1910.09700', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2a8f12d27941090092df78e4ba6f0928eb5eac98,transformers,,"['1907.11692', '1806.02847', '1804.07461', '1704.05426', '1508.05326', '1809.05053', '1910.09700']",en,1190,True,FacebookAI,'1907.11692',https://github.com/facebookresearch/fairseq/tree/main/examples/roberta
HuggingFaceM4/idefics2-8b,76148,,566,2024-04-09 23:58:15+00:00,2024-07-30 00:24:50+00:00,"['transformers', 'safetensors', 'idefics2', 'pretraining', 'multimodal', 'vision', 'image-text-to-text', 'en', 'dataset:HuggingFaceM4/OBELICS', 'dataset:laion/laion-coco', 'dataset:wikipedia', 'dataset:facebook/pmd', 'dataset:pixparse/idl-wds', 'dataset:pixparse/pdfa-eng-wds', 'dataset:wendlerc/RenderedText', 'dataset:HuggingFaceM4/the_cauldron', 'dataset:teknium/OpenHermes-2.5', 'dataset:GAIR/lima', 'dataset:databricks/databricks-dolly-15k', 'dataset:meta-math/MetaMathQA', 'dataset:TIGER-Lab/MathInstruct', 'dataset:microsoft/orca-math-word-problems-200k', 'dataset:camel-ai/math', 'dataset:AtlasUnified/atlas-math-sets', 'dataset:tiedong/goat', 'dataset:Lin-Chen/ShareGPT4V', 'dataset:jxu124/llava_conversation_58k', 'arxiv:2306.16527', 'arxiv:2405.02246', 'arxiv:2307.06304', 'arxiv:2311.07575', 'arxiv:2103.03206', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",a70c0c07c0baf322b09261bd6031ef68cc390039,transformers,,"['2306.16527', '2405.02246', '2307.06304', '2311.07575', '2103.03206']",en,3484,True,HuggingFaceM4,'2405.02246',
JosephusCheung/Guanaco,718,,233,2023-04-08 03:03:14+00:00,2023-05-29 12:48:21+00:00,"['transformers', 'pytorch', 'llama', 'text-generation', 'guannaco', 'alpaca', 'conversational', 'en', 'zh', 'ja', 'de', 'dataset:JosephusCheung/GuanacoDataset', 'doi:10.57967/hf/0607', 'license:gpl-3.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",bed6f3bd18f07a4a379525645cbd86d622b12836,transformers,,[],en,1068,True,JosephusCheung,,
